iter	RMSE
0	24.0212211
1	23.08760319
2	22.16087781
3	21.35684905
4	20.57935756
5	19.84624988
6	19.14374353
7	18.48136952
8	17.82271474
9	17.22834967
10	16.66201496
11	16.12597351
12	15.62689675
13	15.14419891
14	14.67478101
15	14.25225763
16	13.9090989
17	13.5467516
18	13.21509872
19	12.89086944
20	12.56599615
21	12.29326468
22	12.01770637
23	11.75052948
24	11.52731905
25	11.29177754
26	11.08937346
27	10.89503742
28	10.70285221
29	10.52279891
30	10.37972611
31	10.20848681
32	10.06577164
33	9.925758214
34	9.821677235
35	9.704048421
36	9.585306976
37	9.488793122
38	9.414805922
39	9.315500732
40	9.220387978
41	9.161670289
42	9.096310175
43	9.039979825
44	8.967313265
45	8.90630699
46	8.840676597
47	8.776774878
48	8.723738269
49	8.667719767
50	8.614333727
51	8.563198738
52	8.500861782
53	8.456080222
54	8.418063709
55	8.361086809
56	8.30789701
57	8.275643984
58	8.225940362
59	8.183015046
60	8.161107401
61	8.134168708
62	8.099503288
63	8.051049702
64	8.026289819
65	7.982846126
66	7.967443331
67	7.920419358
68	7.889614282
69	7.849877243
70	7.812469283
71	7.774750878
72	7.756419293
73	7.731527389
74	7.69613147
75	7.656218021
76	7.61742466
77	7.583990504
78	7.562873364
79	7.521649306
80	7.490668923
81	7.470311887
82	7.432842636
83	7.403636094
84	7.370262885
85	7.333424932
86	7.310198436
87	7.272590551
88	7.232730817
89	7.20091979
90	7.176314504
91	7.158853836
92	7.148441286
93	7.132187091
94	7.104041157
95	7.077929001
96	7.047882857
97	7.031668391
98	6.996165932
99	6.981353659
100	6.950283253
101	6.932912839
102	6.915097579
103	6.885431851
104	6.853499421
105	6.827886205
106	6.803357326
107	6.777222183
108	6.760518624
109	6.7400706
110	6.732255063
111	6.706024381
112	6.681025199
113	6.66670368
114	6.639903559
115	6.625907126
116	6.586505335
117	6.576783832
118	6.544766599
119	6.516185141
120	6.489963255
121	6.462408491
122	6.450040167
123	6.420269424
124	6.388660272
125	6.373730881
126	6.359465097
127	6.330486656
128	6.315394875
129	6.288841078
130	6.271115433
131	6.260418108
132	6.22937187
133	6.205947552
134	6.179497224
135	6.152691477
136	6.126663832
137	6.115356157
138	6.10032975
139	6.078205771
140	6.06769502
141	6.047765737
142	6.021478549
143	5.997508948
144	5.97476772
145	5.945103612
146	5.936797514
147	5.910085358
148	5.897773514
149	5.887094468
150	5.868174263
151	5.847062798
152	5.822391686
153	5.800797931
154	5.776907796
155	5.764072504
156	5.729381705
157	5.702165284
158	5.679295825
159	5.668776584
160	5.651882475
161	5.632642094
162	5.618354689
163	5.598351365
164	5.573650256
165	5.554793976
166	5.531350326
167	5.507054398
168	5.485896455
169	5.465598938
170	5.444708795
171	5.423546623
172	5.400610282
173	5.376536312
174	5.363477096
175	5.354836382
176	5.344428384
177	5.311651848
178	5.300857098
179	5.28337804
180	5.260644293
181	5.233066587
182	5.222520193
183	5.200845458
184	5.189847161
185	5.166908997
186	5.145123337
187	5.136368875
188	5.114360153
189	5.095054947
190	5.075169645
191	5.058189961
192	5.037927277
193	5.019631137
194	5.012561864
195	5.00135787
196	4.978833328
197	4.964861161
198	4.941269792
199	4.924756937
200	4.90665367
201	4.887459907
202	4.86122235
203	4.83541072
204	4.815645264
205	4.799368394
206	4.780639861
207	4.765746605
208	4.743366368
209	4.726887298
210	4.710720619
211	4.690200499
212	4.677051878
213	4.659510769
214	4.649526639
215	4.638888631
216	4.631910103
217	4.613367337
218	4.59383373
219	4.580768297
220	4.561090729
221	4.535943524
222	4.52393607
223	4.505006846
224	4.490625184
225	4.476159353
226	4.460380735
227	4.449568462
228	4.436429553
229	4.423684908
230	4.41517735
231	4.39940038
232	4.384324899
233	4.367407562
234	4.353386896
235	4.345954694
236	4.336794526
237	4.329515201
238	4.31216884
239	4.2968547
240	4.281964136
241	4.265493089
242	4.253325416
243	4.229308279
244	4.215068122
245	4.20731226
246	4.188720309
247	4.173387399
248	4.158353246
249	4.142669091
250	4.132076116
251	4.118334313
252	4.108653641
253	4.095553213
254	4.078631408
255	4.061998972
256	4.051009564
257	4.040711562
258	4.03130247
259	4.01888839
260	4.012725591
261	4.006835217
262	3.993880047
263	3.990983878
264	3.971429232
265	3.950996242
266	3.937665308
267	3.927791345
268	3.916175398
269	3.901830536
270	3.894308752
271	3.882841191
272	3.870740236
273	3.860114587
274	3.842563387
275	3.829672713
276	3.817833926
277	3.811447458
278	3.798859603
279	3.787886771
280	3.767873143
281	3.756744041
282	3.744993592
283	3.728926082
284	3.717642669
285	3.706870734
286	3.692253449
287	3.686581636
288	3.674941809
289	3.662365667
290	3.646184026
291	3.631098644
292	3.629957722
293	3.608749593
294	3.598291612
295	3.590676023
296	3.587819928
297	3.579000515
298	3.577735993
299	3.565637977
