iter	Passed	Remaining
0	0	218
1	1	165
2	1	124
3	1	123
4	2	121
5	2	129
6	3	126
7	3	124
8	3	115
9	3	113
10	4	112
11	4	110
12	5	113
13	5	112
14	6	114
15	6	110
16	6	109
17	6	109
18	7	108
19	7	107
20	8	107
21	8	110
22	9	110
23	9	109
24	9	107
25	10	110
26	10	109
27	11	111
28	11	110
29	12	110
30	12	109
31	12	108
32	13	108
33	13	107
34	13	105
35	14	104
36	14	104
37	14	102
38	15	102
39	15	101
40	15	101
41	16	99
42	16	98
43	16	97
44	17	97
45	17	97
46	17	96
47	18	96
48	18	95
49	19	95
50	19	94
51	19	93
52	19	93
53	20	92
54	20	91
55	21	91
56	21	91
57	21	90
58	22	90
59	22	89
60	22	89
61	23	88
62	23	88
63	23	87
64	24	87
65	24	87
66	25	87
67	25	86
68	25	86
69	26	85
70	26	85
71	26	84
72	27	84
73	27	83
74	27	83
75	28	83
76	28	82
77	28	82
78	29	81
79	29	81
80	30	81
81	30	81
82	31	81
83	31	81
84	32	81
85	32	80
86	32	80
87	33	79
88	33	79
89	33	79
90	34	79
91	34	78
92	35	78
93	35	77
94	35	77
95	36	77
96	36	76
97	36	76
98	37	75
99	37	75
100	38	76
101	39	76
102	39	75
103	39	75
104	40	74
105	40	74
106	41	74
107	41	73
108	41	73
109	42	73
110	42	72
111	43	72
112	43	71
113	43	71
114	44	70
115	44	70
116	44	70
117	45	69
118	45	69
119	46	69
120	46	68
121	46	68
122	47	67
123	47	67
124	47	66
125	48	66
126	48	66
127	49	66
128	49	65
129	49	65
130	50	64
131	50	64
132	50	64
133	51	63
134	51	63
135	52	62
136	52	62
137	53	62
138	53	62
139	53	61
140	54	61
141	54	60
142	55	60
143	55	60
144	56	59
145	56	59
146	56	59
147	57	58
148	57	58
149	57	57
150	58	57
151	58	57
152	59	56
153	59	56
154	59	55
155	60	55
156	60	55
157	60	54
158	61	54
159	61	53
160	62	53
161	62	53
162	62	52
163	63	52
164	63	51
165	63	51
166	64	51
167	64	50
168	65	50
169	65	50
170	65	49
171	66	49
172	66	48
173	66	48
174	67	48
175	67	47
176	68	47
177	68	46
178	68	46
179	69	46
180	69	45
181	69	45
182	70	44
183	70	44
184	70	44
185	71	43
186	72	43
187	72	43
188	73	42
189	73	42
190	73	42
191	74	41
192	74	41
193	75	41
194	75	40
195	75	40
196	76	39
197	76	39
198	76	39
199	77	38
200	77	38
201	77	37
202	78	37
203	78	37
204	79	36
205	79	36
206	79	35
207	80	35
208	80	35
209	80	34
210	81	34
211	81	33
212	82	33
213	82	33
214	82	32
215	83	32
216	83	31
217	83	31
218	84	31
219	84	30
220	84	30
221	85	29
222	85	29
223	86	29
224	86	28
225	86	28
226	87	27
227	87	27
228	87	27
229	88	26
230	88	26
231	88	26
232	89	25
233	89	25
234	89	24
235	90	24
236	90	24
237	91	23
238	91	23
239	91	22
240	92	22
241	92	22
242	92	21
243	93	21
244	93	21
245	94	20
246	94	20
247	95	19
248	95	19
249	95	19
250	96	18
251	96	18
252	97	18
253	97	17
254	98	17
255	98	16
256	99	16
257	99	16
258	100	15
259	100	15
260	101	15
261	101	14
262	101	14
263	102	13
264	102	13
265	103	13
266	103	12
267	104	12
268	104	12
269	104	11
270	105	11
271	105	10
272	106	10
273	106	10
274	106	9
275	107	9
276	107	8
277	108	8
278	108	8
279	108	7
280	109	7
281	109	6
282	109	6
283	110	6
284	110	5
285	110	5
286	111	5
287	111	4
288	111	4
289	112	3
290	112	3
291	112	3
292	113	2
293	113	2
294	114	1
295	114	1
296	114	1
297	115	0
298	115	0
299	115	0
