iter	RMSE
0	24.22538249
1	23.33948444
2	22.51272457
3	21.75610701
4	20.96473461
5	20.27117215
6	19.61565778
7	18.97408098
8	18.3788812
9	17.7792641
10	17.28400432
11	16.77470998
12	16.30399589
13	15.85102805
14	15.48467317
15	15.03485605
16	14.67859357
17	14.33632321
18	13.98248384
19	13.69074394
20	13.41501235
21	13.14894438
22	12.89897934
23	12.64306364
24	12.42039016
25	12.21586579
26	11.97948171
27	11.81896859
28	11.62929941
29	11.43092224
30	11.27812766
31	11.1222705
32	10.9537143
33	10.7874037
34	10.6272302
35	10.50099228
36	10.37892805
37	10.25730799
38	10.14819546
39	10.08186254
40	9.972988849
41	9.900355926
42	9.79524064
43	9.713636757
44	9.63968626
45	9.564918482
46	9.493701225
47	9.427973027
48	9.370061459
49	9.314242479
50	9.267223906
51	9.213395529
52	9.173574121
53	9.126672766
54	9.087261819
55	9.052433946
56	9.01965027
57	8.965066148
58	8.922305922
59	8.884851361
60	8.8503412
61	8.809419124
62	8.774388604
63	8.738690965
64	8.69670511
65	8.668219041
66	8.652223987
67	8.622421415
68	8.587831232
69	8.558320293
70	8.536332019
71	8.515074716
72	8.485052861
73	8.453826968
74	8.428604448
75	8.402621638
76	8.374762997
77	8.359109423
78	8.335249126
79	8.311556591
80	8.289650241
81	8.266017342
82	8.249382694
83	8.234587883
84	8.20508123
85	8.193107537
86	8.167861314
87	8.142542269
88	8.116628493
89	8.084627077
90	8.076816463
91	8.061455999
92	8.046375781
93	8.016953887
94	8.002449415
95	7.986318259
96	7.968130994
97	7.95090067
98	7.932273658
99	7.907869455
100	7.897799828
101	7.883437752
102	7.866212938
103	7.853947518
104	7.841719738
105	7.815901159
106	7.809509105
107	7.793315491
108	7.781058145
109	7.764218761
110	7.74493549
111	7.716662874
112	7.697398521
113	7.680632651
114	7.660714389
115	7.642548777
116	7.626675009
117	7.619574681
118	7.601839095
119	7.588847382
120	7.572493717
121	7.549506821
122	7.527526362
123	7.509947682
124	7.48911042
125	7.46780835
126	7.45742527
127	7.436369996
128	7.415342754
129	7.402736391
130	7.380542514
131	7.367240315
132	7.348643874
133	7.322680774
134	7.294662229
135	7.271564718
136	7.253416694
137	7.230470287
138	7.216094346
139	7.204046124
140	7.189644439
141	7.164581887
142	7.139333956
143	7.111571249
144	7.100440095
145	7.083970102
146	7.065636588
147	7.040777831
148	7.028847794
149	7.004537618
150	6.981302658
151	6.964954966
152	6.953423016
153	6.929270207
154	6.904849562
155	6.88261245
156	6.867403537
157	6.851226535
158	6.838364821
159	6.811476059
160	6.795286015
161	6.774808577
162	6.765971561
163	6.753762941
164	6.74608732
165	6.72241197
166	6.702777245
167	6.696956622
168	6.681812579
169	6.664004455
170	6.653693723
171	6.629294422
172	6.603427016
173	6.577937616
174	6.5599285
175	6.543157346
176	6.519763561
177	6.50476378
178	6.479262297
179	6.46485307
180	6.437050068
181	6.420140158
182	6.402728171
183	6.385158805
184	6.360813739
185	6.338022404
186	6.329181765
187	6.310321079
188	6.289390059
189	6.274358964
190	6.259894122
191	6.240258095
192	6.231645287
193	6.217976872
194	6.189701871
195	6.172206149
196	6.148737411
197	6.132569833
198	6.1078619
199	6.098663735
200	6.079263855
201	6.064631958
202	6.057146729
203	6.041001155
204	6.019939831
205	5.999657565
206	5.979407848
207	5.96574686
208	5.947237563
209	5.923232361
210	5.911651645
211	5.904242241
212	5.881555413
213	5.864881042
214	5.842284738
215	5.828794313
216	5.821305861
217	5.802476537
218	5.791652131
219	5.776641469
220	5.766399965
221	5.752171977
222	5.746108111
223	5.728736682
224	5.71465653
225	5.700213578
226	5.686890917
227	5.68135495
228	5.664603882
229	5.65166753
230	5.638832759
231	5.62006887
232	5.607424471
233	5.601924725
234	5.581806485
235	5.562655137
236	5.541967186
237	5.534453872
238	5.525044662
239	5.512751394
240	5.501043445
241	5.4799487
242	5.46011276
243	5.447415158
244	5.436418382
245	5.42019638
246	5.401776249
247	5.391053263
248	5.374444989
249	5.368049351
250	5.358396702
251	5.337990731
252	5.325139947
253	5.316104625
254	5.306145795
255	5.290535664
256	5.274834367
257	5.260144619
258	5.254744467
259	5.244219188
260	5.229859241
261	5.226992516
262	5.209435307
263	5.201575192
264	5.18907272
265	5.181774606
266	5.172241624
267	5.164060902
268	5.149173855
269	5.12955674
270	5.113956677
271	5.097161636
272	5.080764563
273	5.075035734
274	5.060253522
275	5.050728936
276	5.043775555
277	5.036690534
278	5.030006905
279	5.01471432
280	4.997115164
281	4.981568492
282	4.977446494
283	4.963099864
284	4.947418288
285	4.930620702
286	4.918863851
287	4.908925394
288	4.899672943
289	4.882848272
290	4.867563613
291	4.858843514
292	4.850921505
293	4.835031537
294	4.825325679
295	4.817672955
296	4.809135869
297	4.801128863
298	4.78690903
299	4.778205138
