iter	Passed	Remaining
0	0	250
1	1	197
2	1	176
3	2	170
4	2	162
5	3	149
6	3	146
7	4	146
8	4	139
9	4	138
10	5	137
11	5	137
12	6	136
13	6	135
14	7	134
15	7	133
16	8	134
17	8	136
18	9	136
19	9	137
20	10	137
21	10	136
22	11	136
23	11	136
24	12	136
25	12	134
26	13	135
27	13	134
28	14	133
29	14	132
30	15	131
31	15	130
32	16	130
33	16	129
34	17	130
35	17	129
36	17	127
37	18	127
38	18	126
39	19	124
40	19	123
41	20	124
42	20	124
43	21	124
44	21	124
45	22	123
46	23	123
47	23	123
48	23	122
49	24	121
50	24	121
51	25	120
52	25	119
53	26	119
54	26	118
55	26	117
56	27	117
57	28	117
58	28	116
59	29	116
60	29	115
61	29	114
62	30	114
63	30	114
64	31	113
65	31	113
66	32	111
67	32	111
68	33	111
69	33	110
70	34	110
71	34	110
72	35	110
73	36	110
74	36	110
75	37	109
76	37	109
77	38	108
78	38	107
79	39	107
80	39	107
81	40	107
82	40	106
83	41	106
84	41	105
85	42	105
86	42	104
87	43	104
88	43	103
89	44	103
90	44	102
91	45	101
92	45	101
93	46	101
94	46	100
95	47	100
96	47	99
97	48	99
98	48	98
99	49	98
100	49	97
101	50	97
102	50	96
103	51	96
104	51	95
105	52	95
106	52	94
107	53	94
108	53	93
109	54	93
110	54	93
111	55	92
112	55	92
113	56	91
114	56	90
115	57	90
116	57	89
117	57	89
118	58	89
119	59	88
120	59	87
121	59	87
122	60	86
123	60	86
124	61	85
125	61	85
126	62	85
127	63	84
128	63	84
129	64	83
130	64	83
131	65	83
132	65	82
133	66	82
134	66	81
135	67	81
136	67	80
137	68	80
138	68	79
139	69	79
140	70	78
141	70	78
142	70	77
143	71	77
144	71	76
145	72	76
146	72	75
147	73	75
148	73	74
149	74	74
150	74	73
151	75	73
152	75	72
153	76	72
154	76	71
155	77	71
156	77	70
157	78	70
158	78	69
159	79	69
160	79	68
161	80	68
162	80	67
163	81	67
164	81	66
165	82	66
166	82	65
167	83	65
168	83	64
169	84	64
170	84	63
171	85	63
172	85	62
173	85	62
174	86	61
175	86	61
176	87	60
177	87	60
178	88	59
179	88	59
180	89	58
181	89	58
182	90	57
183	90	57
184	91	56
185	91	56
186	92	55
187	92	55
188	93	54
189	93	54
190	94	53
191	94	53
192	95	52
193	95	52
194	96	51
195	96	51
196	97	50
197	97	50
198	98	49
199	98	49
200	99	48
201	99	48
202	99	47
203	100	47
204	100	46
205	101	46
206	101	45
207	102	45
208	102	44
209	103	44
210	103	43
211	104	43
212	104	42
213	105	42
214	105	41
215	106	41
216	106	40
217	107	40
218	107	39
219	108	39
220	108	38
221	109	38
222	109	37
223	110	37
224	110	36
225	111	36
226	111	35
227	112	35
228	112	34
229	113	34
230	113	33
231	114	33
232	114	32
233	115	32
234	115	31
235	116	31
236	116	30
237	116	30
238	117	29
239	117	29
240	118	28
241	119	28
242	119	28
243	119	27
244	120	27
245	121	26
246	121	26
247	122	25
248	122	25
249	123	24
250	123	24
251	124	23
252	124	23
253	124	22
254	125	22
255	125	21
256	126	21
257	127	20
258	127	20
259	128	19
260	128	19
261	129	18
262	130	18
263	130	17
264	131	17
265	131	16
266	132	16
267	132	15
268	133	15
269	133	14
270	134	14
271	134	13
272	135	13
273	135	12
274	136	12
275	136	11
276	137	11
277	137	10
278	137	10
279	138	9
280	138	9
281	139	8
282	139	8
283	140	7
284	140	7
285	141	6
286	142	6
287	142	5
288	142	5
289	143	4
290	143	4
291	144	3
292	144	3
293	145	2
294	145	2
295	146	1
296	146	1
297	147	0
298	147	0
299	147	0
